no,class,name,address,menu,picture,insta
181,카페,클랭블루,제주특별자치도 제주시 한경면 신창리 1293-1,None,cafe_20,None
182,카페,풍차로가는길,제주특별자치도 제주시 한경면 한경해안로 502-3,None,cafe_21,road_to_windmill
183,카페,"카페 그해, 여름",제주특별자치도 제주시 한경면 조수리 428-1,None,cafe_22,cafe_summer.jeju
184,카페,앤트러사이트 커피 제주 한림점,제주특별차지도 제주시 한림읍 동명리 1715,None,cafe_23,anthracitecoffeejeju
185,카페,쉼표,제주특별자치도 제주시 한림읍 협재리 1732,None,cafe_24,jejucomma
186,카페,비양놀,제주특별자치도 제주시 한림읍 한림읍 수원리 965,None,cafe_25,biyangnol
187,카페,카페 콤마,제주특별자치도 제주시 중앙로 767 지하 1층,None,cafe_26,cafe_commaa
188,카페,몽상드애월,제주특별자치도 제주시 애월읍 애월로1길 25-4,None,cafe_27,mongsang_de_aewol
189,카페,봄날 카페,제주특별자치도 제주시 애월읍 애월로 1길 25,None,cafe_28,jejubomnal
190,카페,노을리 카페,제주특별자치도 제주시 애월읍 애월해안로 656,None,cafe_29,noeully
191,카페,애월더선셋,제주특별자치도 제주시 애월읍 일주서로 6111,None,cafe_30,aewol_the_sunset
192,카페,애월바다,제주특별자치도 제주시 애월로1길 26-2,None,cafe_31,aewolbada
193,카페,하도리안,제주특별자치도 제주시 구좌읍 해맞이해안로 1788,None,cafe_32,None
194,카페,비케이브,제주특별자치도 제주시 조천읍 선흘리 161-1,None,cafe_33,None
195,카페,흘 heul,제주특별자치도 제주시 조천읍 선진길 88,None,cafe_34,cafe.heul
196,카페,5L2F,제주특별자치도 제주시 조천읍 와흘리 상길 30,None,cafe_35,5l2f_coffee
197,카페,델문도,제주특별자치도 제주시 조천읍 조함해안로 519-10,None,cafe_36,None
198,카페,자드부팡,제주특별자치도 제주시 조천읍 북흘로 385-49,None,cafe_37,jas_de_bouffan
199,카페,점점,제주특별자치도 제주시 조천읍 신촌리 2384,None,cafe_38,jeomjeom__
200,카페,터치우드,제주특별자치도 제주시 조천읍 함덕리 2437,None,cafe_39,doowhcuot
201,카페,카페흐림,제주특별자치도 제주시 조천읍 선흘리 2497-13 오른쪽카페건물,None,cafe_40,today_is_heurim
202,카페,카페 치즈태비,제주특별자치도 제주시 구좌읍 행원로7길 18-9 카페치즈태비,None,cafe_41,cafe_cheesetabby
203,카페,안도르,제주특별자치도 제주시 구좌읍 비자림로 1647,None,cafe_42,andor_jeju_official
204,카페,블루보틀 제주 카페,제주특별자치도 제주시 구좌읍 번영로 2133-30,None,cafe_43,None
205,카페,고사리 커피,제주특별자치도 제주시 구좌읍 송당리 1152-2,None,cafe_44,gosari.coffee
206,카페,쪼끌락 카페,제주특별자치도 제주시 구좌읍 김녕로21길 21,None,cafe_45,jjokkeullak_jeju
207,카페,해일리 커피,제주특별자치도 서귀포시 성산읍 한도로 269-37,None,cafe_46,haeilri_coffee
208,카페,워크인 커피바,제주특별자치도 서귀포시 성산읍 일출로 298,None,cafe_47,walk.in.coffee.bar
209,카페,프릳츠 성산점,제주특별자치도 서귀포시 성산읍 일출로 222,None,cafe_48,fritzcoffeecompany
210,카페,씰에스프레소,제주특별자치도 서귀포시 성산읍 신산리 1190,None,cafe_49,seal_espresso
211,카페,레이트벗 커피 로스터,제주특별자치도 서귀포시 성산읍 서성일로 621 레이트벗 커피 로스터스,None,cafe_50,latebutcoffee
212,카페,발랭드보통,제주특별자치도 서귀포시 성산읍 시흥하동로50번길 32번지,None,cafe_51,baleine.de.btton_jeju
